video_id,duration
00000582.mp4,18.93
00000583.mp4,5.58
00000584.mp4,4.0
00000585.mp4,58.43
00000586.mp4,21.88
00000587.mp4,2.29
00000588.mp4,3.83
00000589.mp4,5.0
00000590.mp4,7.0
00000591.mp4,4.71
00000592.mp4,7.27
00000593.mp4,5.04
00000594.mp4,6.13
00000595.mp4,6.8
00000596.mp4,10.46
00000597.mp4,6.87
00000598.mp4,6.17
00000599.mp4,3.83
00000600.mp4,5.43
00000601.mp4,4.52
00000602.mp4,4.73
00000603.mp4,4.87
00000604.mp4,4.4
00000605.mp4,14.71
00000606.mp4,4.0
00000607.mp4,4.33
00000608.mp4,5.83
00000609.mp4,5.46
00000610.mp4,9.0
00000611.mp4,5.0
00000612.mp4,6.0
00000613.mp4,5.38
00000614.mp4,2.52
00000615.mp4,5.0
00000616.mp4,4.97
00000617.mp4,4.46
00000618.mp4,4.53
00000619.mp4,2.32
00000620.mp4,4.63
00000621.mp4,8.07
00000622.mp4,5.13
00000623.mp4,2.54
00000624.mp4,3.93
00000625.mp4,2.58
00000626.mp4,5.73
00000627.mp4,4.57
00000628.mp4,4.88
00000629.mp4,3.5
00000630.mp4,5.25
00000631.mp4,5.77
00000632.mp4,2.7
00000633.mp4,7.63
00000634.mp4,10.03
00000635.mp4,4.33
00000636.mp4,4.53
00000637.mp4,5.37
00000638.mp4,23.33
00000639.mp4,5.53
00000640.mp4,6.04
00000641.mp4,6.23
00000642.mp4,0.67
00000643.mp4,15.13
00000644.mp4,7.88
00000645.mp4,3.5
00000646.mp4,9.6
00000647.mp4,11.83
00000648.mp4,14.5
00000649.mp4,11.27
00000650.mp4,5.87
00000651.mp4,3.45
00000652.mp4,2.43
00000653.mp4,8.0
00000654.mp4,5.13
00000655.mp4,6.33
00000656.mp4,2.97
00000657.mp4,9.73
00000658.mp4,5.13
00000659.mp4,4.8
00000660.mp4,3.37
00000661.mp4,4.53
00000662.mp4,16.0
00000663.mp4,3.0
00000664.mp4,7.43
00000665.mp4,6.33
00000666.mp4,1.98
00000667.mp4,5.1
00000668.mp4,8.87
00000669.mp4,5.79
00000670.mp4,6.08
00000671.mp4,7.26
00000672.mp4,5.96
00000673.mp4,28.6
00000674.mp4,12.83
00000675.mp4,5.79
00000676.mp4,6.07
00000677.mp4,5.7
00000678.mp4,3.2
00000679.mp4,4.73
00000680.mp4,2.6
00000681.mp4,4.92
00000682.mp4,4.0
00000683.mp4,8.53
00000684.mp4,5.63
00000685.mp4,7.12
00000686.mp4,5.68
00000687.mp4,6.83
00000688.mp4,6.7
00000689.mp4,5.13
00000690.mp4,6.42
00000691.mp4,5.0
00000692.mp4,59.99
00000693.mp4,4.7
00000694.mp4,15.08
00000695.mp4,5.97
00000696.mp4,20.04
00000697.mp4,5.67
00000698.mp4,11.75
00000699.mp4,11.63
00000700.mp4,2.77
00000701.mp4,5.63
00000702.mp4,15.73
00000703.mp4,7.96
00000704.mp4,18.83
00000705.mp4,7.8
00000706.mp4,5.3
00000707.mp4,5.03
00000708.mp4,6.97
00000709.mp4,2.43
00000710.mp4,10.1
00000711.mp4,3.21
00000712.mp4,5.88
00000713.mp4,6.33
00000714.mp4,5.0
00000715.mp4,24.43
00000716.mp4,12.0
00000717.mp4,6.0
00000718.mp4,25.29
00000719.mp4,4.04
00000720.mp4,4.79
00000721.mp4,10.0
